# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
94-26-8	butylparaben	C038091	94-26-8	CEBPA	1050	Mus musculus	10090	22956630|27659731|28527915
94-26-8	butylparaben	C038091	94-26-8	CELF5	60680	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	CELSR3	1951	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CETP	1071	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CFAP58	159686	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CFB	629	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CFH	3075	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CFHL4	559122	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CFHL5	101884308	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CHRDL1	91851	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CHRNA2B	568849	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CHRNB1L	100005295	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CHST1	8534	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	CHST7	56548	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CIDEA	1149	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CKI	30328	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CKMT1	12716	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CLDN10A	368619	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CLDN7A	436612	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CNTN3	5067	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CNTN4	152330	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	COL10A1	1300	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	COL10A1	1300	Mus musculus	10090	28527915
94-26-8	butylparaben	C038091	94-26-8	COL2A1	1280	Mus musculus	10090	28527915
94-26-8	butylparaben	C038091	94-26-8	COL8A1	1295	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	COL8A2	1296	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	COMTD1	118881	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	COPS2	9318	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CP	1356	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CPB2	1361	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CPE	1363	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CREB3L1	90993	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CRIP1	1396	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CRISPLD1B	393442	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CRTC1B	101886240	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CRY2	1408	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CRYBGX	553474	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CRYGMXL1	554128	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CRYGS1	503587	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CTPS1A	322089	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CTRB1	1504	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CTSBA	406645	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CTSLA	321453	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CTSLB	30443	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CX28.8	566668	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CXCL3	2921	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	CYB561	1534	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYBA	1535	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	CYCS	54205	Homo sapiens	9606	29319206
94-26-8	butylparaben	C038091	94-26-8	CYP11A1	1583	Rattus norvegicus	10116	26888303
94-26-8	butylparaben	C038091	94-26-8	CYP11B1	1584	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CYP17A1	1586	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CYP19A1	1588	Homo sapiens	9606	23744433|30817981
94-26-8	butylparaben	C038091	94-26-8	CYP19A1	1588	Rattus norvegicus	10116	25607892|26888303|27122241
94-26-8	butylparaben	C038091	94-26-8	CYP1A1	1543	Homo sapiens	9606	23524099
94-26-8	butylparaben	C038091	94-26-8	CYP1A1	1543	Rattus norvegicus	10116	27432241
94-26-8	butylparaben	C038091	94-26-8	CYP1A2	1544	Rattus norvegicus	10116	27432241
94-26-8	butylparaben	C038091	94-26-8	CYP1B1	1545	Homo sapiens	9606	23524099
94-26-8	butylparaben	C038091	94-26-8	CYP2AA1	572000	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2AA2	768294	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2AA3	386638	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2AA4	415182	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2AA7	101882126	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2AA8	450060	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2AA9	790957	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2B1	24300	Rattus norvegicus	10116	27432241
94-26-8	butylparaben	C038091	94-26-8	CYP2C11	29277	Rattus norvegicus	10116	27432241
94-26-8	butylparaben	C038091	94-26-8	CYP2E1	1571	Rattus norvegicus	10116	27432241
94-26-8	butylparaben	C038091	94-26-8	CYP2K17	735313	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2R1	120227	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2X6	541440	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP2X7	402847	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CYP3A62	170509	Rattus norvegicus	10116	27432241
94-26-8	butylparaben	C038091	94-26-8	CYP4V8	558851	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DAAM2	23500	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DAB1A	692351	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DAO.1	619259	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DAO.2	405800	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DAO.3	402994	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DAP	1611	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DCC	1630	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	DCLRE1A	9937	Danio rerio	7955	29458080
