# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
106-99-0	"1,3-butadiene"	C031763	106-99-0	CHIL1	12654	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CHIT1	1118	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CHRM2	1129	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CHST1	8534	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CHST10	9486	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CHST8	64377	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CIC	23152	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CIITA	4261	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CITED2	10370	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CKAP2	26586	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLCA1	1179	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLCF1	23529	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLDN2	9075	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLEC11A	6320	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLEC12B	387837	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLEC2G	70809	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLEC2I	93675	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLEC4A1	269799	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLEC4A4	474145	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLIP3	25999	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CLMN	79789	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CMAH	12763	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CMIP	80790	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CNGA2	1260	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CNN1	1264	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CNR1	1268	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CNR2	1269	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	COL10A1	1300	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	COL22A1	169044	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	COLQ	8292	Mus musculus	10090	29038090
