,GeneID,CTD
764,100035803,ALCRSP5
765,100034959,ALCRSP6
766,100302905,ALCRSP7
767,100302912,ALCRSP8
768,100302903,ALCRSP9
769,126133,ALDH16A1
770,5832,ALDH18A1
771,216,ALDH1A1
772,8854,ALDH1A2
773,220,ALDH1A3
775,26358,ALDH1A7
776,219,ALDH1B1
777,10840,ALDH1L1
778,160428,ALDH1L2
779,217,ALDH2
780,218,ALDH3A1
781,224,ALDH3A2
782,221,ALDH3B1
783,222,ALDH3B2
784,8659,ALDH4A1
785,7915,ALDH5A1
786,4329,ALDH6A1
787,501,ALDH7A1
788,64577,ALDH8A1
789,223,ALDH9A1
790,226,ALDOA
792,79459,ALDOART2
793,229,ALDOB
794,230,ALDOC
795,56052,ALG1
796,84920,ALG10
798,440138,ALG11
799,79087,ALG12
800,79868,ALG13
801,199857,ALG14
802,85365,ALG2
803,10195,ALG3
804,29880,ALG5
805,29929,ALG6
806,79053,ALG8
807,79796,ALG9
808,238,ALK
809,389658,ALKAL1
810,285016,ALKAL2
811,8846,ALKBH1
812,121642,ALKBH2
813,221120,ALKBH3
814,54784,ALKBH4
815,54890,ALKBH5
816,84964,ALKBH6
817,84266,ALKBH7
818,91801,ALKBH8
819,55821,ALLC
820,7840,ALMS1
821,239,ALOX12
822,242,ALOX12B
823,11685,ALOX12E
824,246,ALOX15
825,247,ALOX15B
826,240,ALOX5
827,241,ALOX5AP
828,59344,ALOXE3
829,251,ALPG
830,248,ALPI
831,80216,ALPK1
832,115701,ALPK2
833,57538,ALPK3
834,249,ALPL
835,250,ALPP
837,57679,ALS2
838,259173,ALS2CL
840,8092,ALX1
841,257,ALX3
842,60529,ALX4
843,10189,ALYREF
844,110175896,AM1
845,110224102,AM10
846,110224104,AM11
847,110224108,AM12
848,110224113,AM13
849,110283604,AM14
850,110283608,AM15
851,110283609,AM16
852,110283618,AM17
853,110354858,AM18
854,110354843,AM19
855,110175901,AM2
856,110354849,AM20
857,110354853,AM21
858,110175903,AM3
859,110175868,AM4
860,110175873,AM5
861,110175876,AM6
862,110175877,AM7
863,110175891,AM8
864,110224101,AM9
866,23600,AMACR
867,258,AMBN
868,259,AMBP
869,55626,AMBRA1
870,262,AMD1
871,103691677,AMD1-PS1
872,309358,AMD1-PS2
873,296217,AMD1-PS3
874,144193,AMDHD1
875,51005,AMDHD2
876,265,AMELX
877,139285,AMER1
878,219287,AMER2
879,205147,AMER3
880,267,AMFR
881,268,AMH
882,269,AMHR2
883,57463,AMIGO1
884,347902,AMIGO2
885,386724,AMIGO3
886,9949,AMMECR1
887,83607,AMMECR1L
888,81693,AMN
889,196394,AMN1
890,154796,AMOT
891,154810,AMOTL1
892,51421,AMOTL2
893,270,AMPD1
894,271,AMPD2
895,272,AMPD3
896,273,AMPH
897,275,AMT
898,401138,AMTN
900,276,AMY1A
903,100043686,AMY2A3
904,668723,AMY2-PS1
905,499693,AMY2-PS2
906,155185,AMZ1
907,51321,AMZ2
908,64682,ANAPC1
909,10393,ANAPC10
910,51529,ANAPC11
911,25847,ANAPC13
912,25906,ANAPC15
913,119504,ANAPC16
914,29882,ANAPC2
915,29945,ANAPC4
916,51433,ANAPC5
917,51434,ANAPC7
918,113939903,ANCV1R
919,25030,ANDPRO
920,283,ANG
922,11731,ANG2
923,23357,ANGEL1
924,90806,ANGEL2
925,284,ANGPT1
926,285,ANGPT2
927,51378,ANGPT4
928,9068,ANGPTL1
929,23452,ANGPTL2
930,27329,ANGPTL3
931,51129,ANGPTL4
932,83854,ANGPTL6
933,10218,ANGPTL7
934,55908,ANGPTL8
936,286,ANK1
937,287,ANK2
938,288,ANK3
939,150709,ANKAR
940,348094,ANKDD1A
941,728780,ANKDD1B
942,63926,ANKEF1
943,162282,ANKFN1
944,51479,ANKFY1
945,56172,ANKH
946,54882,ANKHD1
948,54467,ANKIB1
949,255239,ANKK1
950,126549,ANKLE1
951,23141,ANKLE2
952,51281,ANKMY1
953,57037,ANKMY2
954,57763,ANKRA2
955,27063,ANKRD1
956,55608,ANKRD10
957,29123,ANKRD11
958,23253,ANKRD12
959,88455,ANKRD13A
960,124930,ANKRD13B
961,81573,ANKRD13C
962,338692,ANKRD13D
963,54522,ANKRD16
964,26057,ANKRD17
965,26287,ANKRD2
966,118932,ANKRD22
967,200539,ANKRD23
968,170961,ANKRD24
969,22852,ANKRD26
970,84079,ANKRD27
971,23243,ANKRD28
972,147463,ANKRD29
973,91074,ANKRD30A
974,256006,ANKRD31
975,341405,ANKRD33
976,651746,ANKRD33B
977,284615,ANKRD34A
978,340120,ANKRD34B
979,390616,ANKRD34C
980,148741,ANKRD35
981,375248,ANKRD36
982,353322,ANKRD37
983,51239,ANKRD39
984,91369,ANKRD40
985,338699,ANKRD42
986,91526,ANKRD44
987,339416,ANKRD45
988,157567,ANKRD46
989,54851,ANKRD49
990,57182,ANKRD50
991,283373,ANKRD52
992,79998,ANKRD53
993,129138,ANKRD54
994,79722,ANKRD55
995,22881,ANKRD6
996,140731,ANKRD60
997,100310846,ANKRD61
998,100131244,ANKRD63
999,441869,ANKRD65
1000,100287718,ANKRD66
1001,56311,ANKRD7
1002,122416,ANKRD9
1003,23294,ANKS1A
1004,56899,ANKS1B
1005,124401,ANKS3
1006,257629,ANKS4B
1007,203286,ANKS6
1008,389161,ANKUB1
1009,55139,ANKZF1
1010,54443,ANLN
1011,307056,ANLNL1
1012,55107,ANO1
1013,55129,ANO10
1014,57101,ANO2
1015,63982,ANO3
1016,121601,ANO4
1017,203859,ANO5
1018,196527,ANO6
1019,50636,ANO7
1020,57719,ANO8
1021,338440,ANO9
1022,3730,ANOS1
1023,8125,ANP32A
1024,10541,ANP32B
1025,81611,ANP32E
1026,290,ANPEP
1027,65990,ANTKMT
1028,84168,ANTXR1
1029,118429,ANTXR2
1030,195977,ANTXRL
1031,301,ANXA1
1032,11199,ANXA10
1033,311,ANXA11
1034,312,ANXA13
1035,302,ANXA2
1036,394265,ANXA2-PS1
1037,306,ANXA3
1038,307,ANXA4
1039,308,ANXA5
1040,309,ANXA6
1041,310,ANXA7
1042,653145,ANXA8
1043,8416,ANXA9
1044,408155,ANXRR10
1045,408142,ANXRR11
1046,408164,ANXRR12
1047,408158,ANXRR13
1048,408143,ANXRR14
1049,408150,ANXRR15
1050,387410,ANXRR16
1051,387411,ANXRR17
1052,100302879,ANXRR18
1053,100303351,ANXRR19
1054,100303350,ANXRR20
1055,100303011,ANXRR21
1056,100303131,ANXRR22
1057,100303325,ANXRR23
1058,100307067,ANXRR24
1059,100307065,ANXRR25
1060,100307062,ANXRR26
1061,100307066,ANXRR27
1062,100307064,ANXRR28
1063,100873066,ANXRR29
1064,474371,ANXRR3
1065,100873067,ANXRR30
1066,100873068,ANXRR31
1067,100873069,ANXRR32
1068,100873070,ANXRR33
1069,100873071,ANXRR34
1070,100873073,ANXRR35
1071,100873074,ANXRR36
1072,100873075,ANXRR37
1073,100873076,ANXRR38
1074,100873077,ANXRR39
1075,408154,ANXRR4
1076,100873078,ANXRR40
1077,100873079,ANXRR41
1078,100873080,ANXRR42
1079,100873081,ANXRR43
1080,100873082,ANXRR44
1081,100873083,ANXRR45
1082,100873084,ANXRR46
1083,100873085,ANXRR47
1084,100873086,ANXRR48
1085,100873087,ANXRR49
1086,408170,ANXRR5
1087,100873088,ANXRR50
1088,100873089,ANXRR51
1089,100873090,ANXRR52
1090,100873091,ANXRR53
1091,110091769,ANXRR54
1092,110091770,ANXRR55
1093,110091771,ANXRR56
1094,110091772,ANXRR57
1095,110091773,ANXRR58
1096,408169,ANXRR6
1097,408144,ANXRR7
1098,408166,ANXRR8
1099,408148,ANXRR9
1100,313,AOAH
1101,26,AOC1
1103,353257,AOC2-PS1
1104,8639,AOC3
1105,100303146,AOCEP1
1107,316,AOX1
1108,213043,AOX2
