,GeneID,Symbol
818,115488055,AF357341
819,100303646,AF357355
820,100303647,AF357359
821,100302567,AF357399
822,449562,AF357425
823,449561,AF357426
824,115488057,AF357428
825,231201,AF366264
826,360004,AF426179
827,60312,AFAP1
828,134265,AFAP1L1
829,84632,AFAP1L2
830,4301,AFDN
831,4299,AFF1
832,2334,AFF2
833,3899,AFF3
834,27125,AFF4
835,246269,AFG1L
836,114896,AFG3L1
837,10939,AFG3L2
838,173,AFM
839,125061,AFMID
840,174,AFP
841,112178,AFPQ1
842,112227,AFPQ10
843,112177,AFPQ2
844,112176,AFPQ3
845,112197,AFPQ4
846,112187,AFPQ5
847,112203,AFPQ6
848,112188,AFPQ9
849,110685,AFR2
850,109861,AFT
851,100113369,AFTEQ1
852,100113372,AFTEQ2
853,54812,AFTPH
854,112142,AFW1
855,112204,AFW10
856,112189,AFW11
857,112143,AFW2
858,112144,AFW3
859,112141,AFW4
860,112148,AFW5
861,112149,AFW6
862,112150,AFW7
863,112147,AFW8
864,112145,AFW9
865,11592,AG
866,175,AGA
867,116987,AGAP1
868,116986,AGAP2
869,116988,AGAP3
870,123624,AGBL1
871,79841,AGBL2
872,340351,AGBL3
873,84871,AGBL4
874,60509,AGBL5
875,177,AGER
876,3267,AGFG1
877,3268,AGFG2
878,55109,AGGF1
879,246106,AGGR1
880,246105,AGGR2
881,55750,AGK
882,178,AGL
883,79814,AGMAT
884,392636,AGMO
885,100035170,AGNM1
886,100035894,AGNM2
887,100035171,AGNM3
888,26523,AGO1
889,27161,AGO2
890,192669,AGO3
891,192670,AGO4
892,110036,AGP1
893,110037,AGP2
894,110038,AGP3
895,10554,AGPAT1
896,10555,AGPAT2
897,56894,AGPAT3
898,56895,AGPAT4
899,55326,AGPAT5
901,8540,AGPS
902,10551,AGR2
903,155465,AGR3
904,375790,AGRN
905,181,AGRP
906,183,AGT
907,23287,AGTPBP1
909,11607,AGTR1A
910,11608,AGTR1B
911,186,AGTR2
912,57085,AGTRAP
913,189,AGXT
914,64902,AGXT2
916,25909,AHCTF1
917,191,AHCY
918,10768,AHCYL1
919,23382,AHCYL2
920,110848,AHCY-RS1
921,108035,AHCY-RS2
922,27245,AHDC1
923,54806,AHI1
924,493036,AHL2
925,100036186,AHL3
926,100035016,AHL6
927,79026,AHNAK
928,113146,AHNAK2
929,196,AHR
930,57491,AHRR
931,10598,AHSA1
932,268390,AHSA2
933,197,AHSG
934,51327,AHSP
935,110113,AIA1
936,107462,AIA2
937,492944,AIBL
938,57379,AICDA
939,64853,AIDA
940,199,AIF1
941,83543,AIF1L
942,9131,AIFM1
943,84883,AIFM2
944,150209,AIFM3
945,51390,AIG1
947,9447,AIM2
948,9255,AIMP1
949,7965,AIMP2
950,9049,AIP
951,23746,AIPL1
953,107676,AIR1
954,326,AIRE
955,100271873,AIRN
956,55966,AJAP1
957,389813,AJM1
958,84962,AJUBA
959,203,AK1
960,432732,AK157302
961,204,AK2
962,50808,AK3
963,635960,AK3L2-PS
964,205,AK4
965,26289,AK5
966,102157402,AK6
967,122481,AK7
968,158067,AK8
969,221264,AK9
970,642597,AKAIN1
971,8165,AKAP1
972,11216,AKAP10
973,11215,AKAP11
974,9590,AKAP12
975,11214,AKAP13
976,158798,AKAP14
977,338351,AKAP17B
979,10566,AKAP3
980,8852,AKAP4
981,9495,AKAP5
982,9472,AKAP6
983,9465,AKAP7
984,10270,AKAP8
985,26993,AKAP8L
986,10142,AKAP9
987,108356,AKEV1
988,56672,AKIP1
989,79647,AKIRIN1
990,102635973,AKIRIN1-PS
991,55122,AKIRIN2
992,80709,AKNA
993,254268,AKNAD1
994,66783,AKNAOS
995,109899,AKP1
996,11648,AKP3
997,109879,AKP4
998,208256,AKP-PS1
999,10327,AKR1A1
1001,57016,AKR1B10
1002,11677,AKR1B3
1003,11997,AKR1B7
1004,14187,AKR1B8
1006,622402,AKR1C12
1007,27384,AKR1C13
1008,105387,AKR1C14
1009,105349,AKR1C18
1010,432720,AKR1C19
1012,116852,AKR1C20
1013,77337,AKR1C21
1015,83702,AKR1C6
1016,70861,AKR1CL
1017,6718,AKR1D1
1018,56043,AKR1E1
1021,110198,AKR7A5
1022,207,AKT1
1023,84335,AKT1S1
1024,208,AKT2
1025,111116,AKT2-PS
1026,10000,AKT3
1027,64400,AKTIP
1028,102634,AL022681
1029,103900,AL022704
1030,102635,AL022780
1031,105941,AL022815
1032,106964,AL022850
1033,106296,AL022871
