,GeneID,Symbol
893,647415,ALG1L5P
894,339879,ALG1L6P
895,728263,ALG1L7P
896,645015,ALG1L8P
897,285407,ALG1L9P
898,85365,ALG2
899,10195,ALG3
900,442131,ALG3P1
901,29880,ALG5
902,29929,ALG6
903,79053,ALG8
904,79796,ALG9
905,100874303,ALG9-IT1
906,238,ALK
907,389658,ALKAL1
908,285016,ALKAL2
909,8846,ALKBH1
910,121642,ALKBH2
911,221120,ALKBH3
912,100507300,ALKBH3-AS1
913,54784,ALKBH4
914,54890,ALKBH5
915,84964,ALKBH6
916,84266,ALKBH7
917,91801,ALKBH8
918,100310785,ALL1
919,100310786,ALL2
920,55821,ALLC
921,7840,ALMS1
922,100874291,ALMS1-IT1
923,200420,ALMS1P1
924,239,ALOX12
925,100506713,ALOX12-AS1
926,242,ALOX12B
927,243,ALOX12P1
928,245,ALOX12P2
929,246,ALOX15
930,247,ALOX15B
931,100652883,ALOX15P1
932,642959,ALOX15P2
933,240,ALOX5
934,241,ALOX5AP
935,59344,ALOXE3
936,100420216,ALOXE3P1
937,251,ALPG
938,248,ALPI
939,80216,ALPK1
940,115701,ALPK2
941,57538,ALPK3
942,249,ALPL
943,250,ALPP
944,260330,ALPPP
945,100196909,ALPQTL1
946,100196914,ALPQTL2
947,100196915,ALPQTL3
948,100196916,ALPQTL4
949,260328,ALRH
950,57679,ALS2
951,259173,ALS2CL
952,253,ALS3
953,406238,ALS7
954,8092,ALX1
955,257,ALX3
956,60529,ALX4
957,10189,ALYREF
958,23600,AMACR
959,258,AMBN
960,259,AMBP
961,55626,AMBRA1
962,261,AMCN
963,619510,AMCX5
964,262,AMD1
965,100133024,AMD1P1
966,263,AMD1P2
967,728931,AMD1P3
968,100129761,AMD1P4
969,144193,AMDHD1
970,51005,AMDHD2
971,265,AMELX
972,266,AMELY
973,139285,AMER1
974,219287,AMER2
975,205147,AMER3
976,267,AMFR
977,268,AMH
978,269,AMHR2
979,57463,AMIGO1
980,347902,AMIGO2
981,386724,AMIGO3
982,9163,AMLCR2
983,100499260,AMMEC
984,9949,AMMECR1
985,100874352,AMMECR1-IT1
986,83607,AMMECR1L
987,100420921,AMMECR1LP1
988,81693,AMN
989,196394,AMN1
990,154796,AMOT
991,154810,AMOTL1
992,51421,AMOTL2
993,270,AMPD1
994,271,AMPD2
995,272,AMPD3
996,273,AMPH
997,275,AMT
998,401138,AMTN
999,276,AMY1A
1000,277,AMY1B
1001,278,AMY1C
1002,279,AMY2A
1003,280,AMY2B
1004,281,AMYP1
1005,155185,AMZ1
1006,51321,AMZ2
1007,201283,AMZ2P1
1008,100421018,AMZ2P2
1009,100128929,AMZ2P3
1010,100187761,AN
1011,64682,ANAPC1
1012,10393,ANAPC10
1013,729198,ANAPC10P1
1014,51529,ANAPC11
1015,25847,ANAPC13
1016,25906,ANAPC15
1017,100128808,ANAPC15P1
1018,119504,ANAPC16
1019,100286979,ANAPC1P1
1020,285074,ANAPC1P2
1021,100420889,ANAPC1P3
1022,730268,ANAPC1P4
1023,100420890,ANAPC1P5
1024,402096,ANAPC1P6
1025,29882,ANAPC2
1026,29945,ANAPC4
1027,51433,ANAPC5
1028,51434,ANAPC7
1029,114293,ANBC
1030,8066,ANC
1031,282,ANCR
1032,113939904,ANCV1RP
1033,283,ANG
1034,23357,ANGEL1
1035,90806,ANGEL2
1036,284,ANGPT1
1037,285,ANGPT2
1038,51378,ANGPT4
1039,9068,ANGPTL1
1040,23452,ANGPTL2
1041,27329,ANGPTL3
1042,51129,ANGPTL4
1043,253935,ANGPTL5
1044,83854,ANGPTL6
1045,10218,ANGPTL7
1046,55908,ANGPTL8
1047,647589,ANHX
1048,116833,ANIB1
1049,100271689,ANIB10
1050,100750328,ANIB11
1051,449013,ANIB2
1052,497657,ANIB3
1053,724058,ANIB4
1054,100188810,ANIB5
1055,100188858,ANIB6
1056,100188885,ANIB7
1057,100188886,ANIB8
1058,100271688,ANIB9
1059,550625,ANIC
1060,286,ANK1
1061,287,ANK2
1062,105377373,ANK2-AS1
1063,288,ANK3
1064,105378320,ANK3-DT
1065,150709,ANKAR
1066,348094,ANKDD1A
1067,728780,ANKDD1B
1068,63926,ANKEF1
1069,162282,ANKFN1
1070,51479,ANKFY1
1071,56172,ANKH
1072,54882,ANKHD1
1073,404734,ANKHD1-EIF4EBP3
1074,54467,ANKIB1
1075,255239,ANKK1
1076,126549,ANKLE1
1077,23141,ANKLE2
1078,51281,ANKMY1
1079,57037,ANKMY2
1080,57763,ANKRA2
1081,27063,ANKRD1
1082,55608,ANKRD10
1083,100505494,ANKRD10-IT1
1084,29123,ANKRD11
1085,100287912,ANKRD11P1
1086,100419906,ANKRD11P2
1087,23253,ANKRD12
1088,88455,ANKRD13A
1089,124930,ANKRD13B
1090,81573,ANKRD13C
1091,338692,ANKRD13D
1092,54522,ANKRD16
1093,26057,ANKRD17
1094,253650,ANKRD18A
1095,441459,ANKRD18B
1096,101926917,ANKRD18CP
1097,348840,ANKRD18DP
1098,100131031,ANKRD18EP
1099,138649,ANKRD19P
1100,26287,ANKRD2
1101,84210,ANKRD20A1
1102,100421422,ANKRD20A10P
1103,391267,ANKRD20A11P
1104,100874392,ANKRD20A12P
